City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Pyaozerskiy,RU,65.8333,31.1667,27.81,94,84,4.45,broken clouds
299,Vestmannaeyjar,IS,63.4427,-20.2734,42.48,71,100,16.73,overcast clouds
300,Agirish,RU,61.9247,63.0231,26.49,95,96,4.9,overcast clouds
301,Mount Gambier,AU,-37.8333,140.7667,60.8,63,6,9.22,clear sky
302,Tasiilaq,GL,65.6145,-37.6368,30.2,93,90,1.14,overcast clouds
303,Arona,ES,28.0996,-16.681,66.2,72,20,8.05,few clouds
304,Carnarvon,AU,-24.8667,113.6333,73.4,100,0,5.75,clear sky
305,Sorland,NO,67.667,12.6934,38.91,71,100,23.4,overcast clouds
306,Visby,SE,57.6409,18.296,39.0,87,30,8.05,scattered clouds
307,Maldonado,UY,-34.6667,-54.9167,66.2,72,75,11.5,broken clouds
308,Saravan,AM,39.7196,45.6483,50.0,53,20,4.61,few clouds
309,San Juan,AR,-31.5375,-68.5364,77.4,38,67,9.37,broken clouds
310,Caravelas,BR,-17.7125,-39.2481,77.23,89,31,2.93,scattered clouds
311,Salcininkai,LT,54.3,25.3833,32.0,100,90,8.05,mist
312,Amazar,RU,53.858,120.875,25.88,78,100,2.3,overcast clouds
313,Togur,RU,58.3631,82.8265,23.45,77,100,16.91,overcast clouds
314,Ardatov,RU,55.2421,43.097,36.39,99,100,7.18,moderate rain
315,Nemuro,JP,43.3236,145.575,35.89,81,2,3.29,clear sky
316,Gornopravdinsk,RU,60.05,69.9,32.22,98,100,5.39,light snow
317,Bathsheba,BB,13.2167,-59.5167,78.8,57,40,16.11,scattered clouds
318,Nouakchott,MR,18.0858,-15.9785,75.2,64,91,14.97,overcast clouds
319,Jutai,BR,-5.1833,-68.9,75.22,95,65,1.21,broken clouds
320,Blind River,CA,46.1834,-82.9582,33.8,27,1,14.97,clear sky
321,Kigonsera,TZ,-10.8,35.05,64.4,94,20,2.64,few clouds
322,Bakel,SN,14.905,-12.4568,92.53,8,15,10.76,few clouds
323,Ovsyanka,RU,55.9575,92.5519,28.4,64,0,11.18,clear sky
324,Tactic,GT,15.3333,-90.3,69.8,68,75,6.91,broken clouds
325,Sovetskiy,RU,61.3614,63.5842,24.19,96,55,4.68,broken clouds
326,Leh,IN,34.1667,77.5833,26.85,69,98,5.06,light snow
327,Katangli,RU,51.7102,143.2326,32.09,93,98,9.64,overcast clouds
328,Dikson,RU,73.5069,80.5464,-10.19,81,100,7.38,overcast clouds
329,Balsas,BR,-7.5325,-46.0356,75.83,89,100,3.04,overcast clouds
330,Kyrksaeterora,NO,63.2906,9.0891,41.0,75,75,21.85,light rain
331,Kalabo,ZM,-14.97,22.6814,70.97,73,100,4.7,overcast clouds
332,Dakar,SN,14.6937,-17.4441,68.0,83,11,13.8,few clouds
333,Tutoia,BR,-2.7619,-42.2744,79.27,85,84,11.16,broken clouds
334,Nyurba,RU,63.2842,118.3319,-10.03,90,52,9.46,broken clouds
335,Bardiyah,LY,31.7561,25.0865,56.46,71,4,13.35,clear sky
336,Tokur,RU,53.1333,132.9,24.58,85,100,3.74,overcast clouds
337,Kyzyl-Suu,KG,42.3414,78.0056,23.29,68,100,5.91,overcast clouds
338,Faya,SA,18.3851,42.4509,62.6,39,0,0.58,clear sky
339,Douglas,US,41.3,-96.167,55.4,21,1,14.97,clear sky
340,Tartus,SY,34.889,35.8866,53.6,82,75,11.5,moderate rain
341,Bani,DO,18.2833,-70.3333,81.0,69,40,11.5,scattered clouds
342,Kupino,RU,54.3663,77.2981,17.4,81,71,16.42,broken clouds
343,Eureka,US,40.8021,-124.1637,66.99,65,1,5.01,clear sky
344,Belen,TR,36.4891,36.2233,50.0,100,75,4.61,broken clouds
345,Xining,CN,36.6167,101.7667,30.56,96,100,2.1,light snow
346,Russell,US,32.3502,-85.1999,57.2,24,1,17.27,clear sky
347,Masingbi,SL,8.7833,-11.95,79.68,71,50,4.09,scattered clouds
348,Half Moon Bay,US,37.4636,-122.4286,75.2,26,1,9.22,clear sky
349,Boa Vista,BR,2.8197,-60.6733,91.4,40,20,9.22,few clouds
350,Copiapo,CL,-27.3667,-70.3333,62.6,63,0,16.11,clear sky
