City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Airai,TL,2021-03-29 15:32:46,-8.9266,125.4092,59.77,97,100,5.46
282,Altinopolis,BR,2021-03-29 15:32:47,-21.0256,-47.3739,89.6,45,20,4.61
283,Socorro,US,2021-03-29 15:32:42,31.6546,-106.3033,62.01,26,20,9.44
284,Pappinisseri,IN,2021-03-29 15:32:47,11.95,75.35,81.48,80,43,4.63
285,Sao Filipe,CV,2021-03-29 15:32:47,14.8961,-24.4956,69.93,73,0,9.86
286,Inirida,CO,2021-03-29 15:32:48,3.8653,-67.9239,88.12,61,86,1.66
287,Batemans Bay,AU,2021-03-29 15:30:04,-35.7167,150.1833,57.0,72,21,1.99
288,Mokolo,CM,2021-03-29 15:32:48,10.7398,13.8019,95.0,10,9,10.36
289,Siderno,IT,2021-03-29 15:32:48,38.2779,16.302,66.2,42,68,14.97
290,Kutum,SD,2021-03-29 15:32:49,14.2,24.6667,77.81,9,0,12.66
291,Beidao,CN,2021-03-29 15:32:49,34.5686,105.8933,58.21,54,27,4.05
292,Srimushnam,IN,2021-03-29 15:32:49,11.4,79.4167,80.64,69,86,8.75
293,Faanui,PF,2021-03-29 15:32:50,-16.4833,-151.75,82.4,72,100,15.08
